zip,state,county,city1,city1,city2,city3,city4,city5,city6,city7,city8,city9,city10,city11,city12,city13,city14,city15,city16,city17,city18,city19,city20,city21,city22,city23,city24,city25,city26,city27,city28,city29,city30,city31
650,PR,,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,PR,Arecibo,Garrochales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,PR,,Guanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,PR,,Guayanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,PR,,Hatillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,PR,,Hormigueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,PR,,Isabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,PR,,Jayuya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,PR,,Lajas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,PR,,Lares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,PR,,Las Marias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,PR,,Manati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,PR,,Moca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,PR,,Rincon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,PR,,Quebradillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,PR,,Mayaguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,PR,,Mayaguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,PR,,Mayaguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,PR,,San German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,PR,,San Sebastian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,PR,,Morovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,PR,,Sabana Hoyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,PR,,San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,PR,,Vega Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,PR,,Vega Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,PR,,Vega Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,PR,,Yauco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,PR,,Aguas Buenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,PR,,Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,PR,,Aibonito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,PR,,Maunabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,PR,,Arroyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,PR,,Mercedita,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,PR,,Ponce,Mercedita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,PR,,Naguabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,PR,,Naranjito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,PR,,Orocovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,PR,,Palmer,Rio Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,PR,Patillas,Patillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,PR,,Caguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,PR,,Caguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,PR,,Caguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,PR,Can??vanas,Canovanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,PR,,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,PR,,Ceiba,Roosevelt Rds, Roosevelt Roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,PR,,Cayey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,PR,,Cayey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,PR,,Fajardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,PR,,Cidra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,PR,,Puerto Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,PR,,Punta Santiago,Punta Stgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,PR,,Roosevelt Roads,Ceiba, Roosevelt Rds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,PR,,Rio Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,PR,,Rio Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,PR,,Salinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,PR,,San Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,PR,Santa Isabel,Santa Isabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,PR,,Vieques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,PR,,Villalba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,PR,,Yabucoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,PR,,Coamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,PR,,Las Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,PR,,Loiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,PR,,Luquillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,PR,,Culebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,PR,,Juncos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,PR,,Gurabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,PR,,Coto Laurel,Ponce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,PR,,Comerio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,PR,,Corozal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,PR,,Guayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,PR,,Guayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,PR,Aibonito,La Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,PR,,Humacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,PR,,Humacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,PR,,Barranquitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,PR,,Juana Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,VI,,St Thomas,Charlotte Ama, Charlotte Amalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,VI,,St Thomas,Charlotte Ama, Charlotte Amalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,VI,,St Thomas,Charlotte Ama, Charlotte Amalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,VI,,St Thomas,Charlotte Ama, Charlotte Amalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,VI,,St Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,VI,,Christiansted,St Croix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,VI,,Christiansted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,VI,,Christiansted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,VI,,Christiansted,St Croix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,VI,,Christiansted,St Croix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,VI,,St John,Cruz Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,VI,,St John,Cruz Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,VI,,Frederiksted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,VI,,Frederiksted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,VI,,Kingshill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,VI,,Kingshill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,PR,,San Juan,Old San Juan, Viejo San Juan, Viejo Sn Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,PR,,San Juan,Old San Juan, Viejo San Juan, Viejo Sn Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,PR,,San Juan,Pta De Tierra, Puerta De Tierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,PR,,San Juan,Condado, Miramar, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,PR,,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,PR,,San Juan,Fdez Juncos, Fernandez Juncos, Minillas, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,PR,,San Juan,Fdez Juncos, Fernandez Juncos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,PR,,San Juan,Loiza Street, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,PR,,San Juan,Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,PR,,San Juan,Isla Verde, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,PR,,San Juan,Loiza Street, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,PR,,San Juan,Barrio Obrero, Bo Obrero, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,PR,,San Juan,Barrio Obrero, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,PR,,San Juan,Hato Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,PR,,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,PR,,San Juan,Hato Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,PR,,San Juan,Caparra, Caparra Hills, Caparra Ter, Caparra Terrace, Pto Nuevo, Puerto Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,
921,PR,,San Juan,College Park, Pto Nuevo, Puerto Nuevo, Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,PR,,San Juan,Caparra, Caparra Hills, Caparra Ter, Caparra Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,PR,,San Juan,65th Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,PR,,San Juan,Rio Piedras, 65th Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,PR,,San Juan,Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,PR,,San Juan,Cupey, Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,PR,,San Juan,Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,PR,,San Juan,Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,PR,San Juan,San Juan,Rio Piedras, 65th Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,PR,,San Juan,Rio Piedras, San Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,PR,San Juan,San Juan,Rio Piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,PR,,Fort Buchanan,Ft Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,PR,,San Juan,Barrio Obrero, Caparra, Cupey, Gpo, Loiza Street, Minillas, Old San Juan, Rio Piedras, San Jose, Santurce, Santurce Station, 65th Infantry,,,,,,,,,,,,,,,,,,,
937,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,PR,,San Juan,Minillas, Santurce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,PR,,Toa Baja,Levittown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,PR,,Toa Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,PR,,Toa Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,PR,Toa Baja,Sabana Seca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,PR,Toa Alta,Toa Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,PR,Toa Alta,Toa Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,PR,Bayam??n,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,PR,Bayam??n,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,PR,Bayam??n,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,PR,Bayam??n,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,PR,,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,PR,Bayam??n,Bayamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,PR,Cata?¤o,Catano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,PR,Cata?¤o,Catano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,PR,Guaynabo,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,PR,Guaynabo,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,PR,Guaynabo,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,PR,Guaynabo,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,PR,,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,PR,Guaynabo,Guaynabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,PR,San Juan,San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,PR,Trujillo Alto,Trujillo Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,PR,,Trujillo Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,PR,San Juan,Saint Just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,PR,Carolina,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,MA,Hampden County,Agawam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,MA,Hampshire County,Amherst,Cushman, Pelham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,MA,Hampshire County,Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,MA,Hampshire County,Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,MA,Worcester County,Barre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,MA,Hampshire County,Belchertown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,MA,Hampden County,Blandford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,MA,Hampden County,Bondsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,MA,Hampden County,Brimfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,MA,Hampden County,Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,MA,Hampshire County,Chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,MA,Hampden County,Chicopee,Willimansett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,MA,Hampden County,Chicopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,MA,Hampden County,Chicopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,MA,Hampden County,Chicopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,MA,Hampden County,Chicopee,Westover Afb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,MA,Hampshire County,Cummington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,MA,Hampshire County,Easthampton,E Hampton, Mount Tom, Westhampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,MA,Hampden County,East Longmeadow,E Longmeadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,MA,Berkshire County,East Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,MA,Hampden County,Feeding Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,MA,Worcester County,Gilbertville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,MA,Hampshire County,Goshen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,MA,Hampshire County,Granby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,MA,Hampden County,Granville,Tolland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,MA,Hampshire County,Hadley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,MA,Hampden County,Hampden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,MA,Worcester County,Hardwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,MA,Hampshire County,Hatfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,MA,Hampshire County,Haydenville,West Whately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,MA,Hampden County,Holyoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,MA,Hampden County,Holyoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,MA,Hampshire County,Huntington,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,MA,Hampshire County,Leeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,MA,Franklin County,Leverett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,MA,Hampden County,Ludlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,MA,Hampden County,Monson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,MA,Hampshire County,North Amherst,Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,MA,Hampshire County,Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,MA,Hampshire County,Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,MA,Hampshire County,Florence,Bay State Village, Bay State Vlg, Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,MA,Hampshire County,Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,MA,Franklin County,North Hatfield,N Hatfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,MA,Worcester County,Oakham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,MA,Hampden County,Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,MA,Hampshire County,Plainfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,MA,Hampden County,Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,MA,Franklin County,Shutesbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,MA,Hampshire County,Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,MA,Worcester County,South Barre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,MA,Hampshire County,South Hadley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,MA,Hampden County,Southwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,MA,Hampden County,Thorndike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,MA,Hampden County,Three Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,MA,Hampden County,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,MA,Hampshire County,Ware,Hardwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,MA,Worcester County,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,MA,Hampshire County,West Chesterfield,W Chesterfld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,MA,Hampden County,Westfield,Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,MA,Hampden County,Westfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,MA,Hampshire County,West Hatfield,W Hatfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,MA,Hampden County,West Springfield,W Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,MA,Hampden County,West Springfield,W Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,MA,Worcester County,West Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,MA,Franklin County,Whately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,MA,Worcester County,Wheelwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,MA,Hampden County,Wilbraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,MA,Hampshire County,Williamsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,MA,Hampden County,Woronoco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,MA,Hampshire County,Worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,MA,Hampden County,Longmeadow,Spfld, Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,MA,Hampden County,Longmeadow,E Longmeadow, East Longmeadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,MA,Hampden County,Indian Orchard,Indian Orch, Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,MA,Hampden County,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
